SITE,SITECODE,TREAT,TYPE,DIVISION,SPP,SPP_COUNT_PLOT,BASAL_PLOT,COUNT_HA,BASAL_HA,LAT,LONG,SLOPE,ELEVATION,SOLAR,EXP_MIN,OL_AV,TOTAL_COUNT_PLOT,DECID_COUNT_PLOT,CONIF_COUNT_PLOT,DECID_PROP_PLOT,CONIF_PROP_PLOT,DECID_COUNT_HA,CONIF_COUNT_HA,DECID_BASAL_HA,CONIF_BASAL_HA
DALTON,12_1,1,SAPLING,d,POTR,0,0,0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
DALTON,12_1,1,SAPLING,d,SALIX,20,0.0098172,500,0.24543,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
DALTON,41_1,1,SAPLING,d,ALCR,0,0,0,0,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
DALTON,41_1,1,SAPLING,d,BENE,8,0.0850824,200,2.12706,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
DALTON,41_1,1,SAPLING,c,PIME,0,0,0,0,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
DALTON,41_1,1,SAPLING,d,POTR,0,0,0,0,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
DALTON,41_1,1,SAPLING,d,SALIX,5,0.1382589,125,3.4564725,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
DALTON,42_1,1,SAPLING,d,ALCR,1,0.36672696,25,9.168174,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,9,8,1,0.888888889,0.111111111,200,25,10.4621355,0.049086
DALTON,42_1,1,SAPLING,d,BENE,7,0.05175846,175,1.2939615,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,9,8,1,0.888888889,0.111111111,200,25,10.4621355,0.049086
DALTON,42_1,1,SAPLING,c,PIME,1,0.00196344,25,0.049086,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,9,8,1,0.888888889,0.111111111,200,25,10.4621355,0.049086
DALTON,42_1,1,SAPLING,d,POTR,0,0,0,0,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,9,8,1,0.888888889,0.111111111,200,25,10.4621355,0.049086
DALTON,42_1,1,SAPLING,d,SALIX,0,0,0,0,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,9,8,1,0.888888889,0.111111111,200,25,10.4621355,0.049086
DALTON,48_1,1,SAPLING,d,ALCR,0,0,0,0,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739,0.043478261,550,25,146.7630495,0.0668115
DALTON,48_1,1,SAPLING,d,BENE,13,5.16662874,325,129.1657185,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739,0.043478261,550,25,146.7630495,0.0668115
DALTON,48_1,1,SAPLING,c,PIME,1,0.00267246,25,0.0668115,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739,0.043478261,550,25,146.7630495,0.0668115
DALTON,48_1,1,SAPLING,d,POTR,1,0.00049086,25,0.0122715,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739,0.043478261,550,25,146.7630495,0.0668115
DALTON,48_1,1,SAPLING,d,SALIX,8,0.70340238,200,17.5850595,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739,0.043478261,550,25,146.7630495,0.0668115
DALTON,50_1,1,SAPLING,d,ALCR,0,0,0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
DALTON,50_1,1,SAPLING,d,BENE,0,0,0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
DALTON,50_1,1,SAPLING,c,PIME,0,0,0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
DALTON,50_1,1,SAPLING,d,POTR,0,0,0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
