"exp_min$SITE","exp_min$TREATMENT","exp_min$SITECODE","AV"
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"18_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"20_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"28_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"29_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"33_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"36_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",1,"5_1",0
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"19_2",0.3
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"26_2",0
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"27_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"3_2",0.5
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"34_2",0
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",2,"4_2",1.6
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"17_3",0.3
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"2_3",1.8
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"22_3",0.9
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"23_3",1.3
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"24_3",0
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"25_3",2
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
"STEESE",3,"35_3",5.1
