"OL_depth$SITE","OL_depth$TREATMENT","OL_depth$SITE.CODE","AV"
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"37_3",2.5
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"54_3",1.25
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"55_3",1.62
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"DALTON",3,"7_3",1.7
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"1_0",20.5
"STEESE",0,"31_0",18.6
