"SITECODE","TYPE","SPP","COUNT","BASAL","SITE","DIVISON"
"40_2","SAPLING","SALIX",10,2.94374196,"DALTON","d"
"40_2","TREE","ALCR",0,0,"DALTON","d"
"40_2","TREE","BENE",11,6.4864422,"DALTON","d"
"40_2","TREE","PIME",0,0,"DALTON","c"
"40_2","TREE","POTR",0,0,"DALTON","d"
"40_2","TREE","SALIX",7,3.3010335,"DALTON","d"
"41_1","SAPLING","ALCR",0,0,"DALTON","d"
"41_1","SAPLING","BENE",8,0.0850824,"DALTON","d"
"41_1","SAPLING","PIME",0,0,"DALTON","c"
"41_1","SAPLING","POTR",0,0,"DALTON","d"
"41_1","SAPLING","SALIX",5,0.1382589,"DALTON","d"
"41_1","TREE","ALCR",0,0,"DALTON","d"
"41_1","TREE","BENE",1,0.04586814,"DALTON","d"
"41_1","TREE","PIME",0,0,"DALTON","c"
"41_1","TREE","POTR",0,0,"DALTON","d"
"41_1","TREE","SALIX",1,0.10558944,"DALTON","d"
"42_1","SAPLING","ALCR",1,0.36672696,"DALTON","d"
"42_1","SAPLING","BENE",7,0.05175846,"DALTON","d"
"42_1","SAPLING","PIME",1,0.00196344,"DALTON","c"
"42_1","SAPLING","POTR",0,0,"DALTON","d"
"42_1","SAPLING","SALIX",0,0,"DALTON","d"
"42_1","TREE","ALCR",1,0.36672696,"DALTON","d"
"42_1","TREE","BENE",0,0,"DALTON","d"
"42_1","TREE","PIME",0,0,"DALTON","c"
"42_1","TREE","POTR",0,0,"DALTON","d"
"42_1","TREE","SALIX",0,0,"DALTON","d"
"44_0","SAPLING","ALCR",0,0,"DALTON","d"
"44_0","SAPLING","BENE",2,1.34397468,"DALTON","d"
"44_0","SAPLING","PIME",192,43.1591382,"DALTON","c"
"44_0","SAPLING","POTR",0,0,"DALTON","d"
"44_0","SAPLING","SALIX",12,1.69597584,"DALTON","d"
"44_0","TREE","ALCR",0,0,"DALTON","d"
"44_0","TREE","BENE",2,1.34397468,"DALTON","d"
"44_0","TREE","PIME",180,48.08017332,"DALTON","c"
"44_0","TREE","POTR",0,0,"DALTON","d"
"44_0","TREE","SALIX",12,1.69597584,"DALTON","d"
"47_2","SAPLING","ALCR",33,4.50304056,"DALTON","d"
"47_2","SAPLING","BENE",51,1.0946178,"DALTON","d"
"47_2","SAPLING","PIME",0,0,"DALTON","c"
"47_2","SAPLING","POTR",0,0,"DALTON","d"
"47_2","SAPLING","SALIX",3,0.02497932,"DALTON","d"
"47_2","TREE","ALCR",22,5.48465148,"DALTON","d"
"47_2","TREE","BENE",6,0.33209406,"DALTON","d"
"47_2","TREE","PIME",0,0,"DALTON","c"
"47_2","TREE","POTR",0,0,"DALTON","d"
"47_2","TREE","SALIX",0,0,"DALTON","d"
"48_1","SAPLING","ALCR",0,0,"DALTON","d"
"48_1","SAPLING","BENE",13,5.16662874,"DALTON","d"
"48_1","SAPLING","PIME",1,0.00267246,"DALTON","c"
"48_1","SAPLING","POTR",1,0.00049086,"DALTON","d"
"48_1","SAPLING","SALIX",8,0.70340238,"DALTON","d"
"48_1","TREE","ALCR",0,0,"DALTON","d"
"48_1","TREE","BENE",5,5.12299674,"DALTON","d"
"48_1","TREE","PIME",0,0,"DALTON","c"
"48_1","TREE","POTR",0,0,"DALTON","d"
"48_1","TREE","SALIX",2,0.6722055,"DALTON","d"
"50_1","SAPLING","ALCR",0,0,"DALTON","d"
"50_1","SAPLING","BENE",0,0,"DALTON","d"
"50_1","SAPLING","PIME",0,0,"DALTON","c"
"50_1","SAPLING","POTR",0,0,"DALTON","d"
"50_1","SAPLING","SALIX",20,0.0043632,"DALTON","d"
"50_1","TREE","ALCR",0,0,"DALTON","d"
"50_1","TREE","BENE",0,0,"DALTON","d"
"50_1","TREE","PIME",0,0,"DALTON","c"
"50_1","TREE","POTR",0,0,"DALTON","d"
"50_1","TREE","SALIX",0,0,"DALTON","d"
"52_1","SAPLING","ALCR",1,0.28273536,"DALTON","d"
"52_1","SAPLING","BENE",0,0,"DALTON","d"
"52_1","SAPLING","PIME",0,0,"DALTON","c"
"52_1","SAPLING","POTR",0,0,"DALTON","d"
"52_1","SAPLING","SALIX",1,0.00049086,"DALTON","d"
"52_1","TREE","ALCR",2,0.33182136,"DALTON","d"
"52_1","TREE","BENE",0,0,"DALTON","d"
"52_1","TREE","PIME",0,0,"DALTON","c"
"52_1","TREE","POTR",0,0,"DALTON","d"
"52_1","TREE","SALIX",0,0,"DALTON","d"
"54_3","SAPLING","ALCR",0,0,"DALTON","d"
"54_3","SAPLING","BENE",19,1.39720572,"DALTON","d"
"54_3","SAPLING","PIME",0,0,"DALTON","c"
"54_3","SAPLING","POTR",0,0,"DALTON","d"
"54_3","SAPLING","SALIX",3,0.41084982,"DALTON","d"
"54_3","TREE","ALCR",0,0,"DALTON","d"
"54_3","TREE","BENE",27,2.81688192,"DALTON","d"
"54_3","TREE","PIME",0,0,"DALTON","c"
"54_3","TREE","POTR",0,0,"DALTON","d"
"54_3","TREE","SALIX",4,1.240785,"DALTON","d"
"55_3","SAPLING","ALCR",6,2.15416638,"DALTON","d"
"55_3","SAPLING","BENE",106,3.11848812,"DALTON","d"
"55_3","SAPLING","PIME",0,0,"DALTON","c"
"55_3","SAPLING","POTR",0,0,"DALTON","d"
"55_3","SAPLING","SALIX",34,1.57069746,"DALTON","d"
"55_3","TREE","ALCR",2,2.08953648,"DALTON","d"
"55_3","TREE","BENE",30,2.18830842,"DALTON","d"
"55_3","TREE","PIME",0,0,"DALTON","c"
"55_3","TREE","POTR",0,0,"DALTON","d"
